time,ax,ay,az
11.134244,0,0,0
11.144284,0,0,0
11.145273,0,0,0
11.171435,0,0,0
11.173196,0,0,0
11.181458,0,0,0
11.182002,0,0,0
11.18235,0,0,0
11.182685,0,0,0
11.183399,-0.4493,0.0473,-0.0232
11.243787,-0.4493,0.0473,-0.0232
11.244819,-0.4493,0.0473,-0.0232
11.245819,-0.4493,0.0473,-0.0232
11.249847,0.1055,0.2165,-0.2806
11.251282,0.1055,0.2165,-0.2806
11.299766,0.1055,0.2165,-0.2806
11.300435,0.1055,0.2165,-0.2806
11.301179,0.1055,0.2165,-0.2806
11.325603,0.1055,0.2165,-0.2806
11.326558,0.5286,0.6779,-0.0382
11.360715,0.5286,0.6779,-0.0382
11.361748,0.5286,0.6779,-0.0382
11.362716,0.5286,0.6779,-0.0382
11.403429,0.2439,0.6765,1.2888
11.405267,0.2439,0.6765,1.2888
11.41859,0.2439,0.6765,1.2888
11.419609,0.2439,0.6765,1.2888
11.420535,0.2439,0.6765,1.2888
11.441414,0.4979,1.826,2.4569
11.443709,0.4979,1.826,2.4569
11.47848,0.4979,1.826,2.4569
11.479891,0.4979,1.826,2.4569
11.480703,0.4979,1.826,2.4569
11.518349,0.4979,1.826,2.4569
11.519626,0.9353,1.1199,1.7803
11.536307,0.9353,1.1199,1.7803
11.53729,0.9353,1.1199,1.7803
11.537911,0.9353,1.1199,1.7803
11.596353,0.9353,1.1199,1.7803
11.597676,0.9353,1.1199,1.7803
11.598534,0.9353,1.1199,1.7803
11.599289,-0.8948,-1.7436,-1.7146
11.600607,-0.8948,-1.7436,-1.7146
11.655451,-0.8948,-1.7436,-1.7146
11.656911,-0.8948,-1.7436,-1.7146
11.657771,-0.8948,-1.7436,-1.7146
11.6751,-0.9185,-0.415,-1.484
11.677408,-0.9185,-0.415,-1.484
11.710834,-0.9185,-0.415,-1.484
11.711894,-0.9185,-0.415,-1.484
11.712772,-0.9185,-0.415,-1.484
11.7134,-0.9185,-0.415,-1.484
11.713976,-0.9185,-0.415,-1.484
11.772054,-0.9185,-0.415,-1.484
11.773162,-0.9185,-0.415,-1.484
11.774024,-0.9185,-0.415,-1.484
11.787907,-0.9185,-0.415,-1.484
11.788831,0.0144,0.4673,-0.5969
11.83127,0.0144,0.4673,-0.5969
11.832874,0.0144,0.4673,-0.5969
11.833853,0.0144,0.4673,-0.5969
11.864956,-0.1092,0.6232,-0.3797
11.867121,-0.1092,0.6232,-0.3797
11.890633,-0.1092,0.6232,-0.3797
11.891916,-0.1092,0.6232,-0.3797
11.892904,-0.1092,0.6232,-0.3797
11.903879,0.1022,0.8224,-0.3569
11.905499,0.1022,0.8224,-0.3569
11.948269,0.1022,0.8224,-0.3569
11.949765,0.1022,0.8224,-0.3569
11.950452,0.1022,0.8224,-0.3569
11.980091,-0.0578,0.8135,1.2307
11.981969,-0.0578,0.8135,1.2307
12.008025,-0.0578,0.8135,1.2307
12.009917,-0.0578,0.8135,1.2307
12.011007,-0.0578,0.8135,1.2307
12.056911,0.478,0.6881,2.2193
12.0582,0.478,0.6881,2.2193
12.066964,0.478,0.6881,2.2193
12.067803,0.478,0.6881,2.2193
12.068456,0.478,0.6881,2.2193
12.125453,0.478,0.6881,2.2193
12.126967,0.478,0.6881,2.2193
12.127921,0.478,0.6881,2.2193
12.135039,0.4987,-1.0929,0.6418
12.13623,0.4987,-1.0929,0.6418
12.171293,0.4987,-1.0929,0.6418
12.172156,0.4987,-1.0929,0.6418
12.184697,0.4987,-1.0929,0.6418
12.185396,0.4987,-1.0929,0.6418
12.185733,0.4987,-1.0929,0.6418
12.245473,0.4987,-1.0929,0.6418
12.246178,0.4987,-1.0929,0.6418
12.246467,0.4987,-1.0929,0.6418
12.249178,1.0938,-1.3942,-2.3177
12.249949,1.0938,-1.3942,-2.3177
12.303482,1.0938,-1.3942,-2.3177
12.304879,1.0938,-1.3942,-2.3177
12.306159,1.0938,-1.3942,-2.3177
12.32705,0.2815,-0.2925,-1.3375
12.329507,0.2815,-0.2925,-1.3375
12.361433,0.2815,-0.2925,-1.3375
12.362863,0.2815,-0.2925,-1.3375
12.363675,0.2815,-0.2925,-1.3375
12.403334,0.6578,-0.3609,-1.5548
12.405571,0.6578,-0.3609,-1.5548
12.420687,0.6578,-0.3609,-1.5548
